Supplier Name,Exchange:Ticker Symbol,Customer Name,Entity,Relationship Type,Primary Industry,Source,Business Description
aamra networks limited (DSE:AAMRANET),DSE:AAMRANET,"Honda Motor Co., Ltd. (TSE:7267)","Self
                         ",Supplier,Integrated Telecommunication Services,aamra networks limited (DSE:AAMRANET) - Form ,"aamra networks limited provides corporate internet, information technology, and communication infrastructure services in Bangladesh. The company offers dedicated bandwidth internet services; video conferencing and surveillance solutions; office management systems; IT support and infrastructure management, and data connectivity services; networking monitoring, no spam, email and web hosting, ticketing system, and total office solutions; MPLS, IPVPN, and WAN services; colocation and managed services; IT and ITES equipment; contact center support services; school and employee management systems; and website services. It also provides IT enabled value added, software development, and BPO services. The company was formerly known as Global Online Services Limited and changed its name to aamra networks limited in December 2007. The company was incorporated in 2001 and is headquartered in Dhaka, Bangladesh."
AD Plastik d.d. (ZGSE:ADPL),ZGSE:ADPL,"Honda Motor Co., Ltd. (TSE:7267)","Self
                         ",Supplier,Automotive Parts and Equipment,AD Plastik d.d. (ZGSE:ADPL) 2023 Form ,"AD Plastik d.d. develops, produces, and sells interior and exterior automotive components in Slovenia, Romania, Russia, France, Hungary, Italy, the United Kingdom, Germany, Spain, Slovakia, Croatia, Poland, the Czech Republic, and internationally. The company offers exterior components, such as front and rear bumpers, hood, front and rear bumper extender, front fender, front and rear fender protector, and rocker cladding; upper and lower grille, front skirt, and absorber; underbody covers, deflector, wheel arch housing, and window guide channel; roof spoiler; and rear skirt and diffusor. It provides interior components comprising door panels, central consoles, and instrument panel; headliners and floor carpets; parcel shelf and trunk side trim and carpets; and hard trims, sunvisor, and grab handle. In addition, the company offers seals, which comprise roof mouldings, windshield finishers, glass run channels, and door hidden frames, as well as outer and inner belts. Further, the company provides injection and blow moulding, painting, thermoforming, extrusion, non-woven textile, and assembly related technologies. AD Plastik d.d. was founded in 1952 and is headquartered in Solin, the Republic of Croatia."
Adient plc (NYSE:ADNT),NYSE:ADNT,"Honda Motor Co., Ltd. (TSE:7267)","Self
                         ",Supplier,Automotive Parts and Equipment,Adient plc (NYSE:ADNT) 2024 Form 10-K,"Adient plc engages in the design, development, manufacture, and market of seating systems and components for passenger cars, commercial vehicles, and light trucks. The company?s automotive seating solutions include complete seating systems, mechanisms, frames, foams, head restraints, armrests, and trim covers. It serves automotive original equipment manufacturers in North America and South America; Europe, Middle East, and Africa; and the Asia Pacific/China. Adient plc was incorporated in 2016 and is based in Dublin, Ireland."
Agriauto Industries Limited (KASE:AGIL),KASE:AGIL,"Honda Motor Co., Ltd. (TSE:7267)","Self
                         ",Supplier,Automotive Parts and Equipment,Agriauto Industries Limited (KASE:AGIL) - Form ,"Agriauto Industries Limited engages in the manufacture and sale of components for automotive vehicles, motor cycles, and agricultural tractors in Pakistan. The company offers shock absorbers and struts; motorcycle shock absorber and parts, such as pipe forks, case dampers, and piston rods; and sheet metal press parts, including re-enforcement instrument panels, and door impact beams for OEMs. It also provides tractor steering boxes, as well as camshafts for tractor assemblers; other parts, such as window regulators and door/hood hinges; front suspension for motorcycle; catalytic convertor; and fuel tank for passenger car. In addition, the company is involved in stamping sheet metal parts, dies, and fixtures primarily for the automotive industry. Agriauto Industries Limited was incorporated in 1981 and is based in Karachi, Pakistan."
Ahresty Corporation (TSE:5852),TSE:5852,"Honda Motor Co., Ltd. (TSE:7267)","Self
                         ",Supplier,Automotive Parts and Equipment,Ahresty Corporation (TSE:5852) - Form Doc,"Ahresty Corporation engages in the aluminum die casting, aluminum, and proprietary products businesses in Japan, North America, and Asia. The company engages in manufacturing and sale of auto parts, general engine parts, industrial machinery parts, and dies. It is also involved in the smelting, production, and sale of aluminum alloy ingots. In addition, the company manufactures and sells MOVAFLOR, a proprietary raised floor system used in clean rooms, computer rooms, air conditioning, and offices; and peripheral equipment for die cast production. The company was formerly known as Fuso Light Alloys Co., Ltd. and changed its name to Ahresty Corporation in 1988. Ahresty Corporation was founded in 1938 and is headquartered in Tokyo, Japan."
"Akamai Technologies, Inc. (NasdaqGS:AKAM)",NasdaqGS:AKAM,"Honda Motor Co., Ltd. (TSE:7267)","Self
                         ",Supplier,Internet Services and Infrastructure,"Akamai Technologies, Inc. (NasdaqGS:AKAM) 2024 Form 10-K","Akamai Technologies, Inc. provides cloud computing, security, and content delivery services in the United States and internationally. The company offers cloud solutions to keep infrastructure, websites, applications, application programming interfaces, and users safe from various cyberattacks and online threats while enhancing performance. It also provides web and mobile performance solutions to enable dynamic websites and applications; media delivery solutions, including video streaming and video player services, game and software delivery, broadcast operations, authoritative domain name system, resolution, and data and analytics; and cloud computing services, such as compute, storage, networking, database, and container management services to build, deploy, and secure applications and workloads. In addition, the company offers content delivery solutions; and an array of service and support to assist customers with integrating, configuring, optimizing, and managing its offerings. It sells its solutions through various channel partners. Akamai Technologies, Inc. was incorporated in 1998 and is headquartered in Cambridge, Massachusetts."
Alicon Castalloy Limited (BSE:531147),BSE:531147,"Honda Motor Co., Ltd. (TSE:7267)","Self
                         ",Supplier,Automotive Parts and Equipment,Alicon Castalloy Limited (BSE:531147) 9/5/ Form Doc,"Alicon Castalloy Limited provides design, manufacturing, engineering, casting, machining, assembly, painting, and surface treatment services for aluminum components in India and internationally. The company offers 2 and 4-wheeler cylinder heads, transcradles, motor and compressor housings, inlet pipes, motor stators, cac tanks, controller and distributor housings, battery trays, housings, enclosure bodies, fully finished cylinder heads, swing arms, cooling/junction boxes, inverter casings, transmission cases, e-axles, and top yokes/bridge fork tops as well as suspension, chassis, and brake parts. Its products are used in various sectors, such as e-mobility, automotive, agriculture, energy, medical and health, defence, infrastructure, locomotive, aerospace, and carbon-neutral. In addition, the company exports its products to approximately 18 countries. Alicon Castalloy Limited was formerly known as Enkei Castalloy Limited and changed its name to Alicon Castalloy Limited in December 2010. The company was incorporated in 1990 and is headquartered in Pune, India."
Alicon Castalloy Limited (BSE:531147),BSE:531147,Honda Motorcycle and Scooter India Pvt. Ltd.,"Subsidiary/Investment
                         ",Supplier,Automotive Parts and Equipment,Alicon Castalloy Limited (BSE:531147) 8/28 Form Doc,"Alicon Castalloy Limited provides design, manufacturing, engineering, casting, machining, assembly, painting, and surface treatment services for aluminum components in India and internationally. The company offers 2 and 4-wheeler cylinder heads, transcradles, motor and compressor housings, inlet pipes, motor stators, cac tanks, controller and distributor housings, battery trays, housings, enclosure bodies, fully finished cylinder heads, swing arms, cooling/junction boxes, inverter casings, transmission cases, e-axles, and top yokes/bridge fork tops as well as suspension, chassis, and brake parts. Its products are used in various sectors, such as e-mobility, automotive, agriculture, energy, medical and health, defence, infrastructure, locomotive, aerospace, and carbon-neutral. In addition, the company exports its products to approximately 18 countries. Alicon Castalloy Limited was formerly known as Enkei Castalloy Limited and changed its name to Alicon Castalloy Limited in December 2010. The company was incorporated in 1990 and is headquartered in Pune, India."
American Honda Finance Corporation,-,"American Honda Motor Co., Inc.","Subsidiary/Investment
                         ",Supplier,Consumer Finance,American Honda Finance Corporation 2018 Form 10-K,"American Honda Finance Corporation provides various forms of financing to the purchasers, lessees, authorized dealers of Honda and Acura products in the United States and Canada. It acquires installment sale contracts and leases originated by dealers to retail customers; and wholesale flooring and commercial loans to dealers of Honda and Acura products. The company was incorporated in 1980 and is based in Torrance, California. American Honda Finance Corporation operates as a subsidiary of American Honda Motor Co., Inc."
American Honda Finance Corporation,-,Honda Canada Inc.,"Subsidiary/Investment
                         ",Supplier,Consumer Finance,American Honda Finance Corporation 2018 Form 10-K,"American Honda Finance Corporation provides various forms of financing to the purchasers, lessees, authorized dealers of Honda and Acura products in the United States and Canada. It acquires installment sale contracts and leases originated by dealers to retail customers; and wholesale flooring and commercial loans to dealers of Honda and Acura products. The company was incorporated in 1980 and is based in Torrance, California. American Honda Finance Corporation operates as a subsidiary of American Honda Motor Co., Inc."
